Date,High Price,Low Price,Close Price,Total Traded Quantity,Turnover (in lacs),No. of Contracts
2018-06-04,71.8,68.9,70,4730154,3322.094267,1592
2018-06-05,70.45,67.6,68.2,2671048,1843.769378,1401
2018-06-06,68.3,67.15,67.85,2467860,1670.934041,1304
2018-06-07,68.7,66.55,68.05,3592808,2432.211627,2189
2018-06-08,69,67.25,67.8,8544903,5792.521603,5505
2018-06-09,69.45,67.5,67.8,2761319,1890.745146,5020
2018-06-10,72.5,68,70.85,13063298,9251.972563,13625
2018-06-11,72.5,70.85,71.85,4748886,3410.734281,2032
2018-06-12,74.7,70.9,73.85,5228991,3809.833616,2068
2018-06-13,75,72.6,74.55,3593905,2662.878837,1708
2018-06-14,74.7,72.65,73.05,1910149,1401.985961,903
2018-06-15,73.1,71.4,71.95,2722659,1962.022347,1072
2018-06-16,73.2,71.85,72.35,2275783,1648.301338,858
2018-06-17,72.9,71.65,71.85,1936040,1398.628339,791
2018-06-18,72.1,70.05,70.3,2069542,1463.314613,1102
2018-06-19,70.85,69.1,69.45,2391506,1662.259244,1209
2018-06-20,70.4,69.2,69.9,1540636,1077.036265,823
2018-06-21,71.15,69,69.35,2354841,1647.398887,1274
2018-06-22,70.05,68.55,68.75,2145648,1485.336577,991
2018-06-23,69.55,68.6,68.75,1529387,1054.303654,786
2018-06-24,68.55,67,67.15,3007914,2037.440553,1133
2018-06-25,69,67.05,68.65,2814891,1915.130393,1449
2018-06-26,70.35,68.5,70.05,1947407,1355.148637,1362
2018-06-27,73,69.7,72.25,4051774,2892.20891,2873
2018-06-28,73.4,71.15,72.05,3874963,2795.470062,2103
2018-06-29,72.5,70.6,71.75,1880021,1348.267768,1720
2018-06-30,76.6,71.8,75.6,8322360,6232.092882,7770
2018-07-01,76.75,73.85,74.85,6849642,5162.917475,8494
2018-07-02,77.65,74.4,76.9,5498653,4207.990181,8377
2018-07-03,77.4,75.7,76.1,3984371,3053.653969,6503
